name,image_url
Gundruk,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Gundruk_Yo3tp4DWZ.jpg
Masyaura,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Masyaura_FLmaNn9r6.jpg
Mula Ko Achar,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Mula_Ko_Achar_oIbIYxjeg.jpg
Sel Roti,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Sel_Roti_ak-9OSBDV.jpg
Roti,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Roti_gcwaMmnAH.jpg
Kodo Ko Roti,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Kodo_Ko_Roti_GCwROnB-K.jpg
Puri,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Puri_-rHdVwocc.jpg
Peda,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Peda_pkozd9gqj.jpg
Laddu,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Laddu_8pQjR9kEU.jpg
Khuwa,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Khuwa_TNheJGvYW.jpg
Chiya,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Chiya_2I3VQg8Nq.jpg
Raksi,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Raksi_dmLIjH6Vm.jpg
Lassi,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Lassi_CH34ygLVU.jpg
Chicken Chilli,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Chicken_Chilli_3TPIYEVeY.jpg
Buff Fry,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Buff_Fry_RTUr7hQRS.jpg
Newari Khaja Set,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Newari_Khaja_Set_5-jiyfrgPO.jpg
Buff Chowmein,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Buff_Chowmein_tgKwXNTSn.jpg
Gundruk Ko Achar,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Gundruk_Ko_Achar_vxd5RF-m4.jpg
Simi Ko Tarkari,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Simi_Ko_Tarkari_be5laMqQD.jpg
Tama Ko Achar,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Tama_Ko_Achar_0x5xPNkgy.jpg
Dahi (Curd),https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Dahi_Curd__VkAryBNPR.jpg
Burger,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Burger_6oGOu5tZY.jpg
Pizza,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Pizza_WNspIaMKpD.jpg
French Fries,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/French_Fries_7l7Morqd8.jpg
Pasta,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Pasta_esRvaTiwx.jpg
Chicken Biryani,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Chicken_Biryani_ORpN0y3Of.jpg
Mutton Biryani,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Mutton_Biryani_TgePIPiCR.jpg
Instant Noodles (cooked),https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Instant_Noodles_cooked__9H68eSD1L.jpg
Pork Sekuwa,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Pork_Sekuwa_eSbrqwec2.jpg
Batuk,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Batuk_RMf43Awjl.jpg
Milk,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Milk_pIUlx-jSr.jpg
Ghee,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Ghee_mqSPTVUZn.jpg
Paneer,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Paneer_t_anGEEB8.jpg

Chicken Pizza,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Chicken_Pizza_lZvuskQvJu.jpg
Veg Pizza,https://ik.imagekit.io/6r8dh2vqm/dishes-seed/Veg_Pizza_SlnsG60trB.jpg
